subject,trial,practice_index,block_type,main_task,irr_stim,indirect_task,button_label,button_pushed,ACC,RT
,1,1,1,1,3,1,ans_hor,0,missing,missing
,2,1,1,2,3,1,ans_hor,0,missing,missing
,3,1,1,2,2,2,ans_ver,0,missing,missing
,4,1,1,1,3,1,ans_hor,
