subject,trial,practice_index,block_type,main_task,irr_stim,indirect_task,button_label,button_pushed,ACC,RT
02,1,1,2,1,3,1,ans_gap,0,missing,missing
02,2,1,2,2,1,2,ans_gapno,0,missing,missing
02,3,1,2,2,3,2,ans_gapno,0,missing,missing
02,4,1,2,1,3,1,ans_gap,0,missing,missing
02,5,1,2,2,2,1,ans_gap,0,missing,missing
02,6,1,2,2,3,1,ans_gap,0,missing,missing
02,7,1,2,1,3,1,ans_gap,0,missing,missing
02,8,1,2,2,2,2,ans_gapno,0,missing,missing
02,9,1,2,1,1,2,ans_gapno,1,0,55.464
02,10,1,2,2,2,2,ans_gapno,1,0,14.71
02,11,1,2,2,2,1,ans_gap,1,1,81.754
02,12,1,2,2,1,2,ans_gapno,1,0,34.515
02,13,1,2,2,1,2,ans_gapno,0,missing,missing
02,14,1,2,2,1,1,ans_gap,0,missing,missing
02,15,1,2,2,3,1,ans_gap,0,missing,missing
02,16,1,2,1,2,1,ans_gap,0,missing,missing
02,17,1,2,1,2,2,ans_gapno,0,missing,missing
02,18,1,2,1,3,1,ans_gap,0,missing,missing
02,19,1,2,1,3,2,ans_gapno,0,missing,missing
02,20,1,2,2,1,1,ans_gap,0,missing,missing
02,21,1,1,1,3,2,ans_ver,0,missing,missing
02,22,1,1,2,2,1,ans_hor,0,missing,missing
02,23,1,1,1,3,1,ans_hor,0,missing,missing
02,24,1,1,1,3,1,ans_hor,0,missing,missing
02,25,1,1,2,1,2,ans_ver,0,missing,missing
02,26,1,1,1,2,1,ans_hor,0,missing,missing
02,27,1,1,2,1,1,ans_hor,0,missing,missing
02,28,1,1,2,3,2,ans_ver,0,missing,missing
02,29,1,1,1,3,1,ans_hor,0,missing,missing
02,30,1,1,2,1,1,ans_hor,0,missing,missing
02,31,1,1,1,2,2,ans_ver,0,missing,missing
02,32,1,1,1,2,2,ans_ver,0,missing,missing
02,33,1,1,2,2,2,ans_ver,0,missing,missing
02,34,1,1,1,3,2,ans_ver,0,missing,missing
02,35,1,1,2,3,2,ans_ver,0,missing,missing
02,36,1,1,2,2,1,ans_hor,0,missing,missing
02,37,1,1,2,2,2,ans_ver,0,missing,missing
02,38,1,1,2,2,2,ans_ver,0,missing,missing
02,39,1,1,1,1,2,ans_ver,0,missing,missing
02,40,1,1,1,1,2,ans_ver,0,missing,missing
02,41,0,2,2,1,2,ans_gapno,0,missing,missing
02,42,0,2,1,1,2,ans_gapno,0,missing,missing
02,43,0,2,2,2,2,ans_gapno,0,missing,missing
02,44,0,2,2,2,1,ans_gap,0,missing,missing
02,45,0,2,1,3,1,ans_gap,0,missing,missing
02,46,0,2,2,1,1,ans_gap,0,missing,missing
02,47,0,2,2,2,1,ans_gap,0,missing,missing
02,48,0,2,1,3,1,ans_gap,0,missing,missing
02,49,0,2,2,2,2,ans_gapno,0,missing,missing
02,50,0,2,2,1,2,ans_gapno,0,missing,missing
02,51,0,2,2,3,1,ans_gap,0,missing,missing
02,52,0,2,2,1,2,ans_gapno,0,missing,missing
02,53,0,2,2,3,2,ans_gapno,0,missing,missing
02,54,0,2,1,3,1,ans_gap,0,missing,missing
02,55,0,2,1,2,1,ans_gap,0,missing,missing
02,56,0,2,1,2,2,ans_gapno,0,missing,missing
02,57,0,2,1,3,2,ans_gapno,0,missing,missing
02,58,0,2,2,3,1,ans_gap,0,missing,missing
02,59,0,2,1,3,1,ans_gap,0,missing,missing
02,60,0,2,2,1,1,ans_gap,0,missing,missing
02,61,0,2,1,2,2,ans_gapno,0,missing,missing
02,62,0,2,2,3,2,ans_gapno,0,missing,missing
02,63,0,2,1,1,2,ans_gapno,0,missing,missing
02,64,0,2,2,2,1,ans_gap,0,missing,missing
02,65,0,2,1,1,1,ans_gap,0,missing,missing
02,66,0,2,1,2,1,ans_gap,0,missing,missing
02,67,0,2,1,3,1,ans_gap,0,missing,missing
02,68,0,2,2,1,1,ans_gap,0,missing,missing
02,69,0,2,2,3,2,ans_gapno,0,missing,missing
02,70,0,2,2,1,1,ans_gap,0,missing,missing
02,71,0,2,2,2,1,ans_gap,0,missing,missing
02,72,0,2,1,3,2,ans_gapno,0,missing,missing
02,73,0,2,1,2,1,ans_gap,0,missing,missing
02,74,0,2,1,3,2,ans_gapno,0,missing,missing
02,75,0,2,1,3,2,ans_gapno,0,missing,missing
02,76,0,2,2,3,1,ans_gap,0,missing,missing
02,77,0,2,1,2,1,ans_gap,0,missing,missing
02,78,0,2,1,3,1,ans_gap,0,missing,missing
02,79,0,2,2,2,1,ans_gap,0,missing,missing
02,80,0,2,1,1,2,ans_gapno,0,missing,missing
02,81,0,2,2,2,2,ans_gapno,0,missing,missing
02,82,0,2,2,3,1,ans_gap,0,missing,missing
02,83,0,2,2,3,1,ans_gap,0,missing,missing
02,84,0,2,1,3,1,ans_gap,0,missing,missing
02,85,0,2,1,2,1,ans_gap,0,missing,missing
02,86,0,2,1,2,2,ans_gapno,0,missing,missing
02,87,0,2,1,1,1,ans_gap,0,missing,missing
02,88,0,2,2,2,2,ans_gapno,0,missing,missing
02,89,0,2,2,2,2,ans_gapno,0,missing,missing
02,90,0,2,1,1,1,ans_gap,0,missing,missing
02,91,0,2,2,3,1,ans_gap,0,missing,missing
02,92,0,2,2,2,1,ans_gap,0,missing,missing
02,93,0,2,1,3,2,ans_gapno,0,missing,missing
02,94,0,2,2,2,2,ans_gapno,0,missing,missing
02,95,0,2,2,3,2,ans_gapno,0,missing,missing
02,96,0,2,1,3,1,ans_gap,0,missing,missing
02,97,0,2,1,3,2,ans_gapno,0,missing,missing
02,98,0,2,1,2,2,ans_gapno,0,missing,missing
02,99,0,2,2,1,2,ans_gapno,0,missing,missing
02,100,0,2,1,3,1,ans_gap,0,missing,missing
02,101,0,2,2,2,2,ans_gapno,0,missing,missing
02,102,0,2,1,1,2,ans_gapno,0,missing,missing
02,103,0,2,1,1,1,ans_gap,0,missing,missing
02,104,0,2,2,3,1,ans_gap,0,missing,missing
02,105,0,2,1,2,1,ans_gap,0,missing,missing
02,106,0,2,2,1,2,ans_gapno,0,missing,missing
02,107,0,2,1,3,1,ans_gap,0,missing,missing
02,108,0,2,1,2,2,ans_gapno,0,missing,missing
02,109,0,2,1,1,2,ans_gapno,0,missing,missing
02,110,0,2,2,2,2,ans_gapno,0,missing,missing
02,111,0,2,1,2,1,ans_gap,0,missing,missing
02,112,0,2,1,1,1,ans_gap,0,missing,missing
02,113,0,2,1,2,2,ans_gapno,0,missing,missing
02,114,0,2,1,3,2,ans_gapno,0,missing,missing
02,115,0,2,2,1,2,ans_gapno,0,missing,missing
02,116,0,2,2,2,1,ans_gap,0,missing,missing
02,117,0,2,1,1,2,ans_gapno,0,missing,missing
02,118,0,2,1,1,2,ans_gapno,0,missing,missing
02,119,0,2,2,2,2,ans_gapno,0,missing,missing
02,120,0,2,1,2,2,ans_gapno,0,missing,missing
02,121,0,2,1,1,1,ans_gap,0,missing,missing
02,122,0,2,1,2,1,ans_gap,0,missing,missing
02,123,0,2,2,3,2,ans_gapno,0,missing,missing
02,124,0,2,1,1,2,ans_gapno,0,missing,missing
02,125,0,2,1,1,2,ans_gapno,0,missing,missing
02,126,0,2,2,3,2,ans_gapno,0,missing,missing
02,127,0,2,2,1,1,ans_gap,0,missing,missing
02,128,0,2,2,1,2,ans_gapno,0,missing,missing
02,129,0,2,2,1,1,ans_gap,0,missing,missing
02,130,0,2,2,2,1,ans_gap,0,missing,missing
02,131,0,2,2,3,2,ans_gapno,0,missing,missing
02,132,0,2,1,3,1,ans_gap,0,missing,missing
02,133,0,2,1,2,2,ans_gapno,0,missing,missing
02,134,0,2,1,2,1,ans_gap,0,missing,missing
02,135,0,2,1,3,1,ans_gap,0,missing,missing
02,136,0,2,2,3,2,ans_gapno,0,missing,missing
02,137,0,2,2,2,2,ans_gapno,0,missing,missing
02,138,0,2,2,3,1,ans_gap,0,missing,missing
02,139,0,2,2,1,1,ans_gap,0,missing,missing
02,140,0,2,2,2,2,ans_gapno,0,missing,missing
02,141,0,2,1,1,2,ans_gapno,0,missing,missing
02,142,0,2,2,2,2,ans_gapno,0,missing,missing
02,143,0,2,1,3,1,ans_gap,0,missing,missing
02,144,0,2,2,3,1,ans_gap,0,missing,missing
02,145,0,2,2,3,1,ans_gap,0,missing,missing
02,146,0,2,1,3,2,ans_gapno,0,missing,missing
02,147,0,2,2,2,2,ans_gapno,0,missing,missing
02,148,0,2,2,1,1,ans_gap,0,missing,missing
02,149,0,2,1,3,1,ans_gap,0,missing,missing
02,150,0,2,1,3,1,ans_gap,0,missing,missing
02,151,0,2,2,2,2,ans_gapno,0,missing,missing
02,152,0,2,1,1,1,ans_gap,0,missing,missing
02,153,0,2,1,3,2,ans_gapno,0,missing,missing
02,154,0,2,2,2,1,ans_gap,0,missing,missing
02,155,0,2,1,1,1,ans_gap,0,missing,missing
02,156,0,2,2,1,2,ans_gapno,0,missing,missing
02,157,0,2,2,3,2,ans_gapno,0,missing,missing
02,158,0,2,1,2,1,ans_gap,0,missing,missing
02,159,0,2,2,1,1,ans_gap,0,missing,missing
02,160,0,2,1,3,1,ans_gap,0,missing,missing
02,161,0,2,1,2,2,ans_gapno,0,missing,missing
02,162,0,2,2,1,1,ans_gap,0,missing,missing
02,163,0,2,1,3,2,ans_gapno,0,missing,missing
02,164,0,2,1,2,2,ans_gapno,0,missing,missing
02,165,0,2,1,1,1,ans_gap,0,missing,missing
02,166,0,2,1,2,2,ans_gapno,0,missing,missing
02,167,0,2,2,3,2,ans_gapno,0,missing,missing
02,168,0,2,1,1,2,ans_gapno,0,missing,missing
02,169,0,2,1,1,2,ans_gapno,0,missing,missing
02,170,0,2,2,3,2,ans_gapno,0,missing,missing
02,171,0,2,1,1,1,ans_gap,0,missing,missing
02,172,0,2,1,1,1,ans_gap,0,missing,missing
02,173,0,2,2,3,2,ans_gapno,0,missing,missing
02,174,0,2,1,1,2,ans_gapno,0,missing,missing
02,175,0,2,2,2,2,ans_gapno,0,missing,missing
02,176,0,2,2,3,2,ans_gapno,0,missing,missing
02,177,0,2,2,1,2,ans_gapno,0,missing,missing
02,178,0,2,2,1,1,ans_gap,0,missing,missing
02,179,0,2,2,1,1,ans_gap,0,missing,missing
02,180,0,2,2,2,1,ans_gap,0,missing,missing
02,181,0,2,1,3,2,ans_gapno,0,missing,missing
02,182,0,2,1,2,1,ans_gap,0,missing,missing
02,183,0,2,1,2,1,ans_gap,0,missing,missing
02,184,0,2,1,1,1,ans_gap,0,missing,missing
02,185,0,2,1,3,1,ans_gap,0,missing,missing
02,186,0,2,1,3,2,ans_gapno,0,missing,missing
02,187,0,2,1,1,1,ans_gap,0,missing,missing
02,188,0,2,1,3,2,ans_gapno,0,missing,missing
02,189,0,2,1,2,2,ans_gapno,0,missing,missing
02,190,0,2,1,1,2,ans_gapno,0,missing,missing
02,191,0,2,1,2,1,ans_gap,0,missing,missing
02,192,0,2,1,3,1,ans_gap,0,missing,missing
02,193,0,2,1,1,2,ans_gapno,0,missing,missing
02,194,0,2,1,3,2,ans_gapno,0,missing,missing
02,195,0,2,2,2,2,ans_gapno,0,missing,missing
02,196,0,2,2,1,2,ans_gapno,0,missing,missing
02,197,0,2,1,1,2,ans_gapno,0,missing,missing
02,198,0,2,2,3,1,ans_gap,0,missing,missing
02,199,0,2,2,1,1,ans_gap,0,missing,missing
